Category,parent_id,parent_label
3D_PRINTER,2,Industrial_Auto
ABDOMINAL_EXERCISER,11,Sports_Fitness
ABIS_BOOK,8,Books_Media
ABIS_DRUGSTORE,8,Books_Media
ABIS_DVD,8,Books_Media
ABIS_ELECTRONICS,8,Books_Media
ABIS_GIFT_CARD,8,Books_Media
ABIS_HOME,3,Home_Textiles
ABIS_HOME_IMPROVEMENT,2,Industrial_Auto
ABIS_KITCHEN,8,Books_Media
ABIS_LAWN_AND_GARDEN,9,Home_Electrical
ABIS_MUSIC,8,Books_Media
ABIS_VIDEO,8,Books_Media
ABIS_VIDEO_GAMES,8,Books_Media
ABIS_WIRELESS,1,Electronics_Accessories
ABRASIVES,13,Tools_Hardware
ABRASIVE_BRUSH,13,Tools_Hardware
ABRASIVE_SHEETS,10,Office_Stationery
ABRASIVE_WHEELS,13,Tools_Hardware
ACCESSORY,12,Apparel
ACCESSORY_OR_PART_OR_SUPPLY,1,Electronics_Accessories
ADHESIVES_AND_SEALANTS,6,Health_Beauty
ADHESIVE_TAPES,10,Office_Stationery
ADULT_COSTUME,12,Apparel
ADVENT_CALENDAR,5,Toys_Games
AIMING_SCOPE_SIGHT,13,Tools_Hardware
AIR_COMPRESSOR,9,Home_Electrical
AIR_CONDITIONER,9,Home_Electrical
AIR_COOLER,9,Home_Electrical
AIR_FRYER,0,Kitchen_Home
AIR_GUN,13,Tools_Hardware
AIR_GUN_PROJECTILE,13,Tools_Hardware
AIR_MATTRESS,3,Home_Textiles
AIR_PUMP,9,Home_Electrical
AIR_PURIFIER,9,Home_Electrical
ALARM,9,Home_Electrical
ALCOHOLIC_BEVERAGE,7,Food_Nutrition
AMAZON_BOOK_READER,1,Electronics_Accessories
AMAZON_BOOK_READER_ACCESSORY,1,Electronics_Accessories
AMAZON_DEVICE,4,Consumer_Electronics
AMAZON_TABLET,1,Electronics_Accessories
AMAZON_TABLET_ACCESSORY,1,Electronics_Accessories
ANCHOR_STAKE,13,Tools_Hardware
ANIMAL_CAGE,3,Home_Textiles
ANIMAL_CARRIER,3,Home_Textiles
ANIMAL_COLLAR,3,Home_Textiles
ANIMAL_FUR_CLEANER_CONDITIONER,6,Health_Beauty
ANIMAL_HARNESS,3,Home_Textiles
ANIMAL_INCONTINENCE_PROTECTOR,3,Home_Textiles
ANIMAL_LITTER,6,Health_Beauty
ANIMAL_MEDICATION,6,Health_Beauty
ANIMAL_MUZZLE,6,Health_Beauty
ANIMAL_NUTRITIONAL_SUPPLEMENT,7,Food_Nutrition
ANIMAL_PERCH,3,Home_Textiles
ANIMAL_RECOVERY_COLLAR_CONE,3,Home_Textiles
ANIMAL_SHELTER,3,Home_Textiles
ANIMAL_STAIR,3,Home_Textiles
ANIMAL_VITAMIN,7,Food_Nutrition
ANIMAL_WATER_DISPENSER,9,Home_Electrical
ANTENNA,4,Consumer_Electronics
